team,season,wins,losses,win_pct,pts_per_game,fg_pct,three_pt_pct,three_pt_attempts,off_reb,def_reb,total_reb,assists,turnovers,blocks
Charlotte Hornets,2020-21,33,39,0.458,109.5,0.455,0.369,37.0,10.6,33.2,43.8,26.8,14.8,4.8
Chicago Bulls,2020-21,31,41,0.431,110.7,0.476,0.37,34.0,9.6,35.3,45.0,26.8,15.1,4.2
Cleveland Cavaliers,2020-21,22,50,0.306,103.8,0.45,0.336,29.7,10.4,32.3,42.8,23.8,15.5,4.5
Dallas Mavericks,2020-21,42,30,0.583,112.4,0.47,0.362,38.1,9.1,34.2,43.3,22.9,12.1,4.3
Denver Nuggets,2020-21,47,25,0.653,115.1,0.485,0.377,34.2,10.5,33.9,44.4,26.8,13.5,4.5
Detroit Pistons,2020-21,20,52,0.278,106.6,0.452,0.351,32.9,9.6,33.1,42.7,24.2,14.9,5.2
Golden State Warriors,2020-21,39,33,0.542,113.7,0.468,0.376,38.7,8.0,35.1,43.0,27.7,15.0,4.8
Houston Rockets,2020-21,17,55,0.236,108.8,0.444,0.339,40.6,9.3,33.3,42.6,23.6,14.7,5.0
Indiana Pacers,2020-21,34,38,0.472,115.3,0.474,0.364,34.0,9.0,33.7,42.7,27.4,13.5,6.4
LA Clippers,2020-21,47,25,0.653,114.0,0.482,0.411,34.7,9.4,34.7,44.2,24.4,13.2,4.1
Los Angeles Lakers,2020-21,42,30,0.583,109.5,0.472,0.354,31.2,9.7,34.6,44.2,24.7,15.2,5.4
Memphis Grizzlies,2020-21,38,34,0.528,113.3,0.467,0.356,31.4,11.2,35.3,46.5,26.9,13.3,5.1
Miami Heat,2020-21,40,32,0.556,108.1,0.468,0.358,36.2,8.0,33.5,41.5,26.3,14.1,4.0
Milwaukee Bucks,2020-21,46,26,0.639,120.1,0.487,0.389,37.1,10.3,37.8,48.1,25.5,13.8,4.6
Minnesota Timberwolves,2020-21,23,49,0.319,112.1,0.448,0.349,37.6,10.5,33.0,43.5,25.6,14.3,5.5
New Orleans Pelicans,2020-21,31,41,0.431,114.6,0.477,0.348,30.4,11.7,35.7,47.4,26.0,14.6,4.4
New York Knicks,2020-21,41,31,0.569,107.0,0.456,0.392,30.0,9.7,35.5,45.1,21.4,12.9,5.1
Oklahoma City Thunder,2020-21,22,50,0.306,105.0,0.441,0.339,35.1,9.9,35.7,45.6,22.1,16.1,4.4
Orlando Magic,2020-21,21,51,0.292,104.0,0.429,0.343,31.8,10.4,35.1,45.4,21.8,12.8,4.4
Philadelphia 76ers,2020-21,49,23,0.681,113.6,0.476,0.374,30.1,10.0,35.0,45.1,23.7,14.4,6.2
Phoenix Suns,2020-21,51,21,0.708,115.3,0.49,0.378,34.6,8.8,34.2,42.9,26.9,12.5,4.3
